timestamp,src_ip,dst_ip,protocol,throughput_mbps,packet_size_bytes,src_port,dst_port,connection_duration_s,anomaly_flag,src_country,src_lat,src_lon,dst_country
2026-05-01 08:00:00,7.140.125.58,10.71.52.174,ICMP,84.81,242,39722,3389,9.63,0,GB,51.5074,-0.1278,GB
2026-05-01 08:03:00,60.13.101.184,10.214.112.115,DNS,80.37,77,50753,445,47.98,1,US,40.7128,-74.006,GB
2026-05-01 08:06:00,72.79.110.246,10.172.52.24,HTTP,9.64,768,40589,22,242.16,0,CN,39.9042,116.4074,GB
2026-05-01 08:09:00,138.63.193.21,10.150.185.148,UDP,67.08,157,44360,443,231.94,0,RU,55.7558,37.6173,GB
2026-05-01 08:12:00,219.119.51.98,10.142.232.163,HTTPS,15.87,791,14754,8080,80.17,0,NG,6.5244,3.3792,GB
2026-05-01 08:15:00,166.36.87.137,10.125.83.119,HTTP,26.01,1374,46123,53,65.96,0,BR,-23.5505,-46.6333,GB
2026-05-01 08:18:00,197.28.117.211,10.16.161.103,HTTPS,6.75,1225,58457,8080,94.47,0,AU,-33.8688,151.2093,GB
2026-05-01 08:21:00,102.234.73.68,10.71.126.191,DNS,51.43,1261,29101,53,119.88,0,AE,25.2048,55.2708,GB
2026-05-01 08:24:00,36.252.46.194,10.24.56.40,ICMP,46.85,1457,28690,53,19.15,1,DE,52.52,13.405,GB
2026-05-01 08:27:00,120.128.5.175,10.58.136.197,ICMP,32.65,665,29516,443,136.17,0,JP,35.6762,139.6503,GB
