size_kb,num_imports,num_sections,entropy_avg,num_strings_url,api_network,api_process,max_section_entropy,num_resources,size_code,label
450,112,5,5.21,2,0,4,6.31,12,32000,0
120,45,3,7.82,15,8,12,7.91,2,15000,1
890,250,6,4.84,0,0,2,5.12,45,120000,0
56,12,2,7.91,5,12,18,7.95,0,8000,1
310,88,4,5.55,1,1,3,6.14,8,25000,0
200,62,4,7.42,8,4,9,7.82,3,12000,1
1500,410,7,4.22,4,2,1,4.55,90,450000,0
42,10,2,7.98,3,20,25,7.99,0,5000,1
670,145,5,5.92,2,1,5,6.51,15,85000,0
95,38,3,7.65,12,10,14,7.85,1,11000,1
340,95,4,5.15,1,0,3,6.22,10,28000,0
115,42,3,7.78,14,7,11,7.88,2,14500,1
870,240,6,4.91,0,0,2,5.18,42,118000,0
58,14,2,7.89,6,11,17,7.92,0,8200,1
325,90,4,5.48,2,1,4,6.18,9,26000,0
210,65,4,7.38,9,5,10,7.79,3,12500,1
1450,405,7,4.28,3,2,1,4.58,88,445000,0
45,11,2,7.95,4,19,24,7.97,0,5200,1
685,148,5,5.88,3,1,6,6.48,16,86500,0
98,40,3,7.62,11,9,13,7.82,1,11500,1
440,110,5,5.25,2,0,4,6.29,11,31500,0
125,48,3,7.85,16,9,13,7.93,2,15500,1
900,255,6,4.82,1,0,3,5.15,48,125000,0
54,11,2,7.93,5,13,19,7.96,0,7800,1
315,86,4,5.52,1,1,3,6.12,8,24500,0
195,60,4,7.45,7,4,8,7.84,2,11800,1
1520,415,7,4.25,4,2,1,4.52,92,455000,0
40,9,2,7.99,3,21,26,7.99,0,4800,1
660,142,5,5.95,2,1,5,6.54,14,84000,0
92,36,3,7.68,13,11,15,7.87,1,10800,1
460,115,5,5.18,3,0,4,6.33,13,32500,0
118,44,3,7.81,14,8,12,7.90,2,14800,1
880,245,6,4.87,0,0,2,5.10,44,119000,0
60,15,2,7.87,7,10,16,7.91,0,8400,1
330,92,4,5.45,2,1,4,6.20,10,27000,0
205,63,4,7.40,9,5,10,7.80,3,12200,1
1480,412,7,4.30,4,2,1,4.60,85,448000,0
48,12,2,7.94,4,18,23,7.96,0,5400,1
680,146,5,5.90,3,1,6,6.50,16,86000,0
96,39,3,7.64,12,9,14,7.84,1,11200,1
435,108,5,5.28,1,0,4,6.27,11,31000,0
128,50,3,7.88,17,10,14,7.95,2,16000,1
910,260,6,4.80,1,0,3,5.18,50,130000,0
52,10,2,7.95,6,14,20,7.97,0,7600,1
320,85,4,5.50,1,1,3,6.15,8,25500,0
190,58,4,7.48,8,5,9,7.86,2,11500,1
1550,420,7,4.20,5,2,1,4.50,95,460000,0
38,8,2,8.00,4,22,27,8.00,0,4500,1
650,140,5,5.98,1,1,5,6.58,14,83000,0
90,35,3,7.70,14,12,16,7.89,1,10500,1
470,118,5,5.16,3,0,5,6.35,14,33000,0
116,43,3,7.80,15,8,12,7.89,2,14700,1
885,248,6,4.85,0,0,2,5.11,43,119500,0
62,16,2,7.86,8,10,16,7.90,0,8500,1
335,94,4,5.43,2,1,4,6.21,11,27500,0
208,64,4,7.39,10,6,11,7.78,4,12400,1
1490,414,7,4.29,4,2,1,4.59,86,449000,0
46,13,2,7.93,5,19,24,7.95,0,5300,1
690,147,5,5.89,4,1,7,6.49,17,87000,0
97,41,3,7.63,13,10,15,7.83,2,11400,1
430,107,5,5.30,1,0,4,6.25,10,30500,0
130,52,3,7.90,18,11,15,7.97,2,16500,1
920,265,6,4.78,2,0,3,5.19,52,135000,0
50,9,2,7.96,7,15,21,7.98,0,7400,1
325,84,4,5.48,2,1,3,6.17,9,25800,0
185,56,4,7.50,9,6,10,7.88,2,11200,1
1580,425,7,4.18,6,2,1,4.48,98,465000,0
36,7,2,8.02,5,23,28,8.02,0,4200,1
640,138,5,6.00,2,1,5,6.60,13,82000,0
88,34,3,7.72,15,13,17,7.91,1,10200,1
480,120,5,5.14,4,0,5,6.37,15,34000,0
114,41,3,7.77,13,7,11,7.87,2,14400,1
860,235,6,4.93,0,0,2,5.20,40,117000,0
64,17,2,7.84,9,9,15,7.88,0,8600,1
340,96,4,5.41,3,1,4,6.23,12,28000,0
212,66,4,7.37,11,7,12,7.76,4,12600,1
1460,408,7,4.26,5,2,1,4.56,84,446000,0
44,12,2,7.92,6,20,25,7.94,0,5100,1
700,149,5,5.87,5,1,8,6.47,18,88000,0
100,42,3,7.60,14,11,16,7.80,2,11800,1
425,106,5,5.32,2,0,4,6.23,9,30000,0
135,55,3,7.92,19,12,16,7.99,3,17000,1
930,270,6,4.76,3,0,3,5.21,55,140000,0
48,8,2,7.98,8,16,22,8.00,0,7200,1
330,83,4,5.46,3,1,3,6.19,10,26000,0
180,54,4,7.52,10,7,11,7.90,2,11000,1
1600,430,7,4.16,7,2,1,4.46,100,470000,0
34,6,2,8.04,6,24,29,8.04,0,4000,1
630,136,5,6.02,3,1,5,6.62,12,81000,0
86,33,3,7.74,16,14,18,7.93,1,10000,1
490,122,5,5.12,5,0,5,6.39,16,35000,0
112,40,3,7.75,12,6,10,7.85,2,14200,1
850,230,6,4.95,0,0,2,5.22,38,116000,0
66,18,2,7.82,10,8,14,7.86,0,8800,1
345,98,4,5.39,4,1,4,6.25,13,28500,0
215,68,4,7.35,12,8,13,7.74,5,12800,1
1470,410,7,4.24,6,2,1,4.54,82,447000,0
42,11,2,7.91,7,21,26,7.93,0,5000,1
710,150,5,5.85,6,1,9,6.45,19,89000,0
102,43,3,7.58,15,12,17,7.78,2,12000,1
