srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
175.45.176.1,1043,149.171.126.14,53,udp,INT,9E-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424254093,1424254093,0.009,0.0,0.0,0.0,0.0,0,2,,, ,13,13,13,14,13,13,13,Generic,1
59.166.0.5,40332,149.171.126.5,11493,tcp,FIN,0.344959,4160,2976,31,29,7,7,-,93042.94531,66558.63281,28,28,255,255,2852400164,2859824398,149,106,0,0,750.196862,19.926668,1424251622,1424251622,12.764111,12.757,0.00065,0.000517,0.000133,0,0,,, ,4,7,4,2,1,1,2,,0
175.45.176.0,47439,149.171.126.10,53,udp,INT,9E-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260712,1424260712,0.009,0.0,0.0,0.0,0.0,0,2,,, ,24,24,24,24,24,13,24,Generic,1
59.166.0.9,2697,149.171.126.7,53,udp,CON,0.001092,146,178,31,29,0,0,dns,534798.5,652014.625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424251405,1424251405,0.009,0.004,0.0,0.0,0.0,0,0,,, ,4,4,2,3,2,1,3,,0
59.166.0.4,9585,149.171.126.9,6881,tcp,FIN,2.18409,11064,455758,31,29,18,164,-,40313.35938,1664814.25,190,366,255,255,2927829045,789919808,58,1245,0,0,1923.423919,1388.64604,1424252810,1424252812,11.554386,5.982414,0.000629,0.000508,0.000121,0,0,,, ,3,3,1,2,1,1,1,,0
59.166.0.1,37224,149.171.126.0,17758,tcp,FIN,0.01164,2438,19440,31,29,7,13,-,1631615.125,13026804.0,38,40,255,255,1173336223,3319031298,64,486,0,0,18.286383,16.220195,1424257932,1424257932,0.314417,0.284615,0.000643,0.000532,0.000111,0,0,,, ,7,3,3,2,1,1,2,,0
59.166.0.2,46598,149.171.126.0,2161,udp,CON,0.001605,536,304,31,29,0,0,-,2003738.375,1136448.625,4,4,0,0,0,0,134,76,0,0,0.58077,0.256687,1424251855,1424251855,0.414667,0.186,0.0,0.0,0.0,0,0,,, ,3,7,7,7,1,1,3,,0
59.166.0.7,55844,149.171.126.8,80,tcp,FIN,1.008164,1580,10168,31,29,3,5,http,11498.12891,76209.82031,12,18,255,255,2785894247,2786888287,132,565,1,3924,9540.031211,7682.163826,1424261142,1424261143,91.618,59.272942,0.000667,0.000521,0.000146,0,0,1.0,, ,2,2,3,5,1,1,2,,0
175.45.176.1,1043,149.171.126.14,53,udp,INT,3E-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424253120,1424253120,0.003,0.0,0.0,0.0,0.0,0,2,,, ,22,22,16,17,16,16,22,Generic,1
59.166.0.5,39349,149.171.126.2,7612,tcp,FIN,0.027825,3390,44906,31,29,7,22,-,957412.4375,12688446.0,56,58,255,255,137437076,2297516089,61,774,0,0,28.719563,28.784489,1424261564,1424261564,0.509593,0.488571,0.000583,0.000461,0.000122,0,0,,, ,9,1,2,3,1,1,2,,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,3E-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424252980,1424252980,0.003,0.0,0.0,0.0,0.0,0,2,,, ,33,33,18,18,18,18,33,Generic,1
59.166.0.0,60321,149.171.126.2,111,udp,CON,0.006986,568,320,31,29,0,0,-,487832.8125,274835.375,4,4,0,0,0,0,142,80,0,0,2.791893,2.583532,1424254111,1424254111,1.975667,1.834333,0.0,0.0,0.0,0,0,,, ,7,5,5,6,1,1,3,,0
,62747,149.171.126.8,143,tcp,FIN,0.033196,7810,15108,31,29,30,32,-,1866731.0,3612242.5,122,126,255,255,1588216623,1589184102,64,120,0,0,17.53726,15.327094,1424250245,1424250245,0.278051,0.261264,0.00066,0.000534,0.000126,0,0,,, ,13,7,2,8,1,1,4,,0
175.45.176.1,47439,149.171.126.14,53,udp,INT,9E-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424253267,1424253267,0.009,0.0,0.0,0.0,0.0,0,2,,, ,25,25,15,15,15,15,25,Generic,1
59.166.0.1,6957,149.171.126.8,33615,udp,CON,0.001757,544,304,31,29,0,0,-,1857712.0,1038133.188,4,4,0,0,0,0,136,76,0,0,0.622725,0.320793,1424252547,1424252547,0.443333,0.232333,0.0,0.0,0.0,0,0,,, ,9,2,4,4,1,1,2,,0
149.171.126.14,1043,175.45.176.1,53,udp,INT,1E-05,264,0,60,0,0,0,dns,105600000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424251708,1424251708,0.01,0.0,0.0,0.0,0.0,0,0,,, ,42,42,42,42,42,23,42,,0
149.171.126.10,47439,175.45.176.0,53,udp,INT,5E-06,264,0,60,0,0,0,dns,211200000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424259563,1424259563,0.005,0.0,0.0,0.0,0.0,0,0,,, ,37,37,19,19,19,19,37,,0
